Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF/50V,C_0603_1608Metric,143.0301,-96.7074,180.0,top
C2,100nF/50V,C_0603_1608Metric,157.0001,-92.8974,-90.0,top
C3,100nF/50V,C_0603_1608Metric,122.38911,-89.24929,180.0,top
C4,100nF/50V,C_0603_1608Metric,134.422012,-91.934641,90.0,top
C5,100nF/50V,C_0603_1608Metric,130.844641,-86.757479,0.0,top
C6,10pF/50V,C_0402_1005Metric,126.700132,-75.762169,-90.0,top
C7,10pF/50V,C_0402_1005Metric,121.300074,-75.754726,90.0,top
C8,100nF/50V,C_0603_1608Metric,124.594165,-86.5474,180.0,top
C9,100nF/50V,C_0603_1608Metric,139.155902,-86.836145,180.0,top
C10,100nF/50V,C_0603_1608Metric,132.8701,-74.9774,-90.0,top
C11,100nF/50V,C_0603_1608Metric,155.7301,-80.3374,-90.0,top
C12,100nF/50V,C_0603_1608Metric,161.532821,-81.088122,90.0,top
C13,100nF/50V,C_0603_1608Metric,152.5551,-66.8624,90.0,top
C14,100nF/50V,C_0603_1608Metric,145.505902,-86.841872,0.0,top
C15,10pF/50V,C_0402_1005Metric,143.205946,-75.064367,-90.0,top
C16,10pF/50V,C_0402_1005Metric,137.779836,-75.081114,90.0,top
C17,100nF/50V,C_0603_1608Metric,155.0951,-83.3724,0.0,top
C18,100nF/50V,C_0603_1608Metric,150.171594,-70.0374,0.0,top
C19,100nF/50V,C_0603_1608Metric,129.6951,-84.0074,90.0,top
D1,"PESD2CAN,215",SOT95P230X110-3N,160.1751,-92.8974,180.0,top
D2,"PESD2CAN,215",SOT95P230X110-3N,137.065123,-91.6274,270.0,top
D3,"PESD2CAN,215",SOT95P230X110-3N,124.6151,-68.0124,270.0,top
D4,"PESD2CAN,215",SOT95P230X110-3N,133.5051,-67.923543,0.0,top
D5,PSM712,SOT23-3,160.8101,-65.5924,90.0,top
D6,LED,D_0805_2012Metric,106.8351,-87.8174,180.0,top
D7,LED,D_0805_2012Metric,106.8351,-85.2774,180.0,top
D8,LED,D_0805_2012Metric,106.8351,-90.3574,180.0,top
F1,Polyfuse_Small,Fuse_1206_3216Metric,147.4751,-96.975356,0.0,top
F2,Polyfuse_Small,Fuse_1206_3216Metric,152.5551,-96.992103,0.0,top
F3,Polyfuse_Small,Fuse_1206_3216Metric,135.358698,-96.0724,-90.0,top
F4,Polyfuse_Small,Fuse_1206_3216Metric,137.9501,-96.0724,-90.0,top
F5,Polyfuse_Small,Fuse_1206_3216Metric,123.3451,-62.2874,90.0,top
F6,Polyfuse_Small,Fuse_1206_3216Metric,125.8851,-62.2874,90.0,top
F7,Polyfuse_Small,Fuse_1206_3216Metric,160.237544,-61.062302,90.0,top
F8,Polyfuse_Small,Fuse_1206_3216Metric,156.3651,-59.8774,0.0,top
F9,Polyfuse_Small,Fuse_1206_3216Metric,130.3301,-62.2874,90.0,top
F10,Polyfuse_Small,Fuse_1206_3216Metric,132.8701,-62.2874,90.0,top
R1,60R,R_0805_2012Metric,154.0526,-91.6274,0.0,top
R2,60R,R_0805_2012Metric,154.0526,-94.1674,180.0,top
R3,60R,R_0805_2012Metric,132.616682,-91.326317,-90.0,top
R4,60R,R_0805_2012Metric,132.3621,-94.772791,-90.0,top
R5,10k,R_0603_1608Metric,127.769165,-86.5474,0.0,top
R6,10k,R_0603_1608Metric,142.330902,-86.841872,0.0,top
R7,10k,R_0603_1608Metric,146.8401,-78.7374,90.0,top
R8,10k,R_0603_1608Metric,130.423024,-78.517511,90.0,top
R9,60R,R_0805_2012Metric,131.291342,-71.9424,0.0,top
R10,60R,R_0805_2012Metric,135.4101,-71.943931,0.0,top
R11,4k7,R_0603_1608Metric,122.7101,-101.1524,90.0,top
R12,4k7,R_0603_1608Metric,111.37577,-63.411065,0.0,top
R13,100R,R_0603_1608Metric,110.444692,-88.265214,180.0,top
R14,100R,R_0603_1608Metric,110.3426,-85.2774,180.0,top
R15,100R,R_0603_1608Metric,110.4551,-90.3574,180.0,top
R16,4k7,R_0603_1608Metric,111.35711,-72.931603,0.0,top
R17,4k7,R_0603_1608Metric,155.0951,-85.2774,0.0,top
R18,4k7,R_0603_1608Metric,155.70488,-77.034955,-90.0,top
R19,4k7,R_0603_1608Metric,155.0951,-89.0874,0.0,top
R20,10R,R_1206_3216Metric,157.6351,-63.6874,90.0,top
R21,10R,R_1206_3216Metric,155.0951,-63.6874,90.0,top
R22,60R,R_0805_2012Metric,147.350802,-71.950193,0.0,top
R23,60R,R_0805_2012Metric,150.9276,-71.9424,0.0,top
R24,10k,R_0603_1608Metric,147.6021,-89.0874,0.0,top
R27,100R,R_0603_1608Metric,135.980902,-86.841872,0.0,top
R28,4k7,R_0603_1608Metric,108.1801,-93.8774,0.0,top
R29,4k7,R_0603_1608Metric,108.1801,-112.2924,0.0,top
R30,100R,R_0603_1608Metric,111.3551,-93.8774,0.0,top
R31,100R,R_0603_1608Metric,111.3551,-112.2924,0.0,top
R32,10k,R_0603_1608Metric,126.827132,-89.291158,180.0,top
U3,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,144.3001,-92.8974,270.0,top
U4,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,124.6151,-92.8974,270.0,top
U7,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,134.1401,-81.4674,0.0,top
U8,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,150.6501,-81.3024,0.0,top
U9,SP3485EN,SOIC-8_3.9x4.9mm_P1.27mm,157.0001,-70.0374,0.0,top
Y1,X322516MLB4SI,OSC_X322516MLB4SI,123.9801,-75.7524,0.0,top
Y2,X322516MLB4SI,OSC_X322516MLB4SI,140.4901,-75.2874,0.0,top
